Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
La,25.0,,,,,,,,,,,F,75.0,,,,,,,,,,Therm.decomp.,1023,0.75,0.25,3.0,1.0,0.24 ,,2.1,46.2,0.0,53.8,53.8,1.1
La,33.3,Ca,66.7,,,,,,,,,,,,,,,,,,,,Impregnation,1073,0.90,0.10,9.0,1.0,0.06 ,,14.8,,,,67.4,10.0
La,0.7,Mn,9.3,Ti,90.0,,,,,,,,,,,,,,,,,,Impregnation,1073,0.75,0.25,3.0,1.0,2.10 ,,16.0,,0.8,,2.8,0.4
La,3.0,Pb,5.9,Ca,91.1,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.07,0.03,2.0,1.0,1.80 ,,32.0,,,,26.0,8.3
La,50.0,,,,,,,,,,,F,50.0,,,,,,,,,,Therm.decomp.,1053,0.80,0.20,4.0,1.0,0.24 ,,25.0,,27.2,19.4,46.6,11.6
La,40.0,Na,40.0,Ba,20.0,,,,,,,,,,,,,,,,,,Therm.decomp.,1003,0.78,0.22,3.5,1.0,1.62 ,,36.2,,,,49.2,17.8
La,40.0,Na,40.0,Mg,20.0,,,,,,,,,,,,,,,,,,Therm.decomp.,1003,0.78,0.22,3.5,1.0,1.62 ,,37.3,,,,51.3,19.1
La,40.0,Na,40.0,Zn,20.0,,,,,,,,,,,,,,,,,,Therm.decomp.,1003,0.78,0.22,3.5,1.0,1.62 ,,24.7,,,,45.5,11.2
La,40.0,Ba,20.0,Na,40.0,,,,,,,,,,,,,,,,,,Impregnation,1003,0.78,0.22,3.5,1.0,1.62 ,,34.5,56.7,34.8,13.2,48.0,16.6
La,40.0,Na,40.0,Mg,20.0,,,,,,,,,,,,,,,,,,Impregnation,1003,0.78,0.22,3.5,1.0,1.62 ,,37.3,45.2,30.8,20.5,51.3,19.1
La,40.0,Na,40.0,Zn,20.0,,,,,,,,,,,,,,,,,,Impregnation,1003,0.78,0.22,3.5,1.0,1.62 ,,24.7,53.8,27.9,17.6,45.5,11.2
La,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.17,0.06,2.6,1.0,0.60 ,92.9,24.1,72.0,15.0,13.1,28.1,6.8
La,92.5,,,,,,,,,,,Br,7.5,,,,,,,,,,Therm.decomp.,1023,0.17,0.06,2.6,1.0,0.60 ,93.0,35.0,78.3,14.5,7.1,21.6,7.6
