Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
Sr,6.7,Er,80.0,,,,,,,,,F,13.3,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,96.6,29.3,57.1,23.8,19.1,42.9,12.6
Sr,6.7,Tm,80.0,,,,,,,,,F,13.3,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,99.5,28.6,59.7,21.2,19.1,40.3,11.5
Sr,6.7,Yb,80.0,,,,,,,,,F,13.3,,,,,,,,,,Therm.decomp.,1023,0.75,0.15,5.0,1.0,0.18 ,99.4,28.7,64.3,19.9,15.8,35.7,10.2
Sr,11.0,La,17.3,,,,,,,,,,,,,,Al,10.0,Si,61.7,,,Impregnation,1073,0.80,0.20,4.0,1.0,0.04 ,,30.9,,,,64.4,19.9
Sr,11.0,Nd,17.3,,,,,,,,,,,,,,Al,10.0,Si,61.7,,,Impregnation,1073,0.80,0.20,4.0,1.0,0.04 ,,29.2,,,,55.8,16.3
Sr,11.0,,,,,,,,,,,,,,,,Al,12.4,Si,76.6,,,Impregnation,1073,0.80,0.20,4.0,1.0,0.04 ,,6.1,,,,63.9,3.9
Sr,8.1,La,19.3,,,,,,,,,,,,,,Al,10.1,Si,62.5,,,Impregnation,1123,0.94,0.06,15.9,1.0,0.04 ,,12.5,,,,80.7,10.1
Sr,9.0,La,16.0,,,,,,,,,,,,,,Al,10.4,Si,64.6,,,Impregnation,1123,0.94,0.06,15.9,1.0,0.04 ,,12.5,,,,80.7,10.1
Sr,9.0,Ce,16.0,,,,,,,,,,,,,,Al,10.4,Si,64.6,,,Impregnation,1123,0.94,0.06,15.9,1.0,0.04 ,,0.1,,,,0.0,0.0
Sr,9.0,Nd,16.0,,,,,,,,,,,,,,Al,10.4,Si,64.6,,,Impregnation,1123,0.94,0.06,15.9,1.0,0.04 ,,11.1,,,,81.7,9.1
Sr,9.0,Sm,16.0,,,,,,,,,,,,,,Al,10.4,Si,64.6,,,Impregnation,1123,0.94,0.06,15.9,1.0,0.04 ,,6.5,,,,83.8,5.4
Sr,9.0,Gd,16.0,,,,,,,,,,,,,,Al,10.4,Si,64.6,,,Impregnation,1123,0.94,0.06,15.9,1.0,0.04 ,,7.4,,,,82.5,6.1
Sr,9.0,Er,16.0,,,,,,,,,,,,,,Al,10.4,Si,64.6,,,Impregnation,1123,0.94,0.06,15.9,1.0,0.04 ,,7.0,,,,81.3,5.7
Sr,9.0,Yb,16.0,,,,,,,,,,,,,,Al,10.4,Si,64.6,,,Impregnation,1123,0.94,0.06,15.9,1.0,0.04 ,,8.9,,,,75.5,6.7
Sr,23.1,Zr,30.8,,,,,,,,,P,46.1,,,,,,,,,,Therm.decomp.,1023,0.17,0.08,2.0,1.0,0.60 ,,16.5,,,,15.3,2.5
Sr,0.8,,,,,,,,,,,,,,,,La,99.2,,,,,Impregnation,923,0.78,0.22,3.6,1.0,0.06 ,,23.0,,,,52.0,12.0
Sr,0.8,Ni,2.6,,,,,,,,,,,,,,La,96.6,,,,,Impregnation,923,0.78,0.22,3.6,1.0,0.06 ,,38.0,,,,2.0,0.8
Sr,65.5,,,,,,,,,,,P,34.5,,,,,,,,,,Therm.decomp.,1023,0.17,0.08,2.0,1.0,0.60 ,,19.7,,,,4.1,0.8
Sr,65.5,,,,,,,,,,,P,34.5,,,Cl,,,,,,,Therm.decomp.,1023,0.17,0.08,2.0,1.0,0.60 ,,8.4,,,,9.7,0.8
Sr,2.0,La,98.0,,,,,,,,,,,,,,,,,,,,Impregnation,973,0.78,0.22,3.6,1.0,0.06 ,,23.2,,,,51.7,12.0
Sr,21.0,La,79.0,,,,,,,,,,,,,,,,,,,,n.a.,1073,0.10,0.03,3.0,1.0,0.06 ,50.0,20.0,,,,75.0,15.0
Sr,1.8,La,98.2,,,,,,,,,,,,,,,,,,,,Impregnation,973,0.46,0.05,10.2,1.0,0.01 ,70.0,10.0,,,,72.0,7.2
Sr,1.8,La,98.2,,,,,,,,,,,,,,,,,,,,Impregnation,998,0.46,0.05,10.2,1.0,0.01 ,70.0,15.0,,,,75.0,11.3
Sr,1.8,La,98.2,,,,,,,,,,,,,,,,,,,,Impregnation,1023,0.46,0.05,10.2,1.0,0.01 ,70.0,16.0,,,,78.0,12.5
Sr,23.8,Pr,76.2,,,,,,,,,,,,,,,,,,,,Impregnation,1048,0.50,0.10,4.8,1.0,1.50 ,,13.0,,,,24.0,3.1
Sr,22.55 ,Sm,77.45 ,,,,,,,,,,,,,,,,,,,,Precipitation,823 ,0.42 ,0.08 ,5.0 ,1.0 ,0.25 ,,15.9 ,,,,19.1 ,3.1 
Sr,22.55 ,Sm,77.45 ,,,,,,,,,,,,,,,,,,,,Precipitation,848 ,0.42 ,0.08 ,5.0 ,1.0 ,0.25 ,,16.7 ,,,,26.0 ,4.5 
Sr,22.55 ,Sm,77.45 ,,,,,,,,,,,,,,,,,,,,Precipitation,873 ,0.42 ,0.08 ,5.0 ,1.0 ,0.25 ,,18.4 ,,,,34.0 ,6.5 
Sr,22.55 ,Sm,77.45 ,,,,,,,,,,,,,,,,,,,,Precipitation,898 ,0.42 ,0.08 ,5.0 ,1.0 ,0.25 ,,20.1 ,,,,40.3 ,8.2 
Sr,22.55 ,Sm,77.45 ,,,,,,,,,,,,,,,,,,,,Precipitation,923 ,0.42 ,0.08 ,5.0 ,1.0 ,0.25 ,,21.6 ,,,,46.4 ,10.3 
Sr,22.55 ,Sm,77.45 ,,,,,,,,,,,,,,,,,,,,Precipitation,948 ,0.42 ,0.08 ,5.0 ,1.0 ,0.25 ,,23.8 ,,,,51.7 ,12.5 
