Promotor,Preparation,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %",Na_C_mol%,Mg_C_mol%,Ca_C_mol%,Mn_C_mol%,La_C_mol%,Ba_C_mol%,Zr_C_mol%,W_C_mol%,Ti_C_mol%,Ce_C_mol%,S_A_mol%,P_A_mol%,Cl_A_mol%,Si_S_mol%,C_S_mol%,Mg_S_mol%,Ti_S_mol%
0,1,1073,3.0,1.0,0.1,0.0,2.4,42.5,9.6,47.9,57.5,1.4,2.1,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.7,0.0,0.0,0.0
0,1,1073,3.0,1.0,0.1,0.0,30.2,36.7,39.6,23.8,63.4,19.1,2.1,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95.8,0.0,0.0,0.0
0,1,1048,7.3,1.0,0.22,0.0,7.0,0.0,0.0,0.0,40.0,2.8,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0
0,1,1023,8.1,1.0,0.04,0.0,15.1,0.0,0.0,0.0,71.8,10.8,8.9,0.0,0.0,3.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0
0,1,1073,3.2,1.0,0.14,0.0,29.5,33.6,42.6,23.8,66.4,19.6,8.9,0.0,0.0,3.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0
0,1,1073,2.5,1.0,0.11,0.0,35.5,46.0,41.0,0.0,54.0,19.2,8.9,0.0,0.0,3.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0
0,1,1073,2.5,1.0,0.11,0.0,35.7,43.6,41.1,0.0,56.4,20.1,8.9,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,83.1,0.0,0.0,0.0
0,1,1073,2.5,1.0,0.11,0.0,31.0,49.5,38.6,0.0,50.5,15.7,10.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,82.0,0.0,0.0,0.0
0,1,1073,2.5,1.0,0.11,0.0,33.5,47.5,36.9,0.0,52.5,17.6,8.9,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,83.1,0.0,0.0,0.0
0,1,1073,2.5,1.0,0.11,0.0,9.4,55.1,21.7,0.0,44.9,4.2,8.9,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.6,0.0,0.0,0.0
0,1,1073,2.5,1.0,0.11,0.0,15.2,37.6,33.0,0.0,62.4,9.5,11.3,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0
0,1,1073,2.5,1.0,0.11,0.0,4.0,55.6,6.3,0.0,44.4,1.8,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,83.1,0.0,0.0,0.0
0,1,1073,2.5,1.0,0.11,0.0,5.0,60.5,6.5,0.0,39.5,2.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,83.1,0.0,0.0,0.0
0,1,1073,2.5,1.0,0.11,0.0,5.1,65.7,13.3,0.0,34.3,1.7,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,83.1,0.0,0.0,0.0
0,1,1093,4.0,1.0,0.12,96.3,30.3,0.0,42.0,0.0,68.4,20.7,8.9,0.0,0.0,3.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0
0,1,973,2.0,1.0,0.22,100.0,41.0,0.0,0.0,0.0,42.8,17.5,8.9,0.0,0.0,3.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0
0,1,1093,4.0,1.0,0.12,65.6,22.4,0.0,36.3,0.0,69.4,15.5,8.9,0.0,0.0,3.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0
0,1,1023,3.0,1.0,0.75,0.0,43.8,0.0,0.0,0.0,53.6,23.5,13.8,0.0,0.0,1.5,0.0,0.0,2.2,0.7,0.0,0.0,3.6,0.7,0.0,77.5,0.0,0.0,0.0
0,1,1023,3.0,1.0,0.75,0.0,38.0,0.0,0.0,0.0,47.4,18.0,13.8,0.0,0.0,1.5,0.0,0.0,2.2,0.7,0.0,0.0,3.6,0.0,0.0,78.2,0.0,0.0,0.0
0,1,1023,3.0,1.0,0.75,0.0,34.0,0.0,0.0,0.0,47.1,16.0,13.8,0.0,0.0,1.5,0.0,0.0,2.2,0.7,0.0,0.0,0.0,0.7,0.0,81.1,0.0,0.0,0.0
0,1,1023,3.0,1.0,0.75,0.0,15.0,0.0,0.0,0.0,66.7,10.0,13.8,0.0,0.0,1.5,0.0,0.0,2.2,0.7,0.0,0.0,0.0,0.0,0.0,81.8,0.0,0.0,0.0
0,1,1123,9.9,1.0,0.4,100.0,13.0,0.0,0.0,0.0,75.0,9.8,7.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
