Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
Mn,2.32 ,Na,2.17 ,W,1.08 ,Ce,2.27 ,,,,,,,,,,Si,92.16 ,,,,,Impregnation,1113 ,,,5.0 ,1.0 ,0.04 ,99.6 ,22.2 ,29.7 ,48.4 ,21.8 ,70.2 ,15.6 
Mn,2.32 ,Na,2.17 ,W,1.08 ,Ce,2.27 ,,,,,,,,,,Si,92.16 ,,,,,Impregnation,1113 ,,,6.0 ,1.0 ,0.04 ,99.1 ,22.0 ,31.8 ,46.3 ,21.9 ,68.2 ,15.0 
Mn,2.36 ,Na,2.21 ,W,1.10 ,Ce,3.70 ,,,,,,,,,,Si,90.63 ,,,,,Impregnation,1113 ,,,3.0 ,1.0 ,0.04 ,98.4 ,34.1 ,41.0 ,37.3 ,21.7 ,59.0 ,20.1 
Mn,2.36 ,Na,2.21 ,W,1.10 ,Ce,3.70 ,,,,,,,,,,Si,90.63 ,,,,,Impregnation,1113 ,,,4.0 ,1.0 ,0.04 ,99.5 ,26.0 ,24.7 ,49.4 ,25.9 ,75.3 ,19.6 
Mn,2.36 ,Na,2.21 ,W,1.10 ,Ce,3.70 ,,,,,,,,,,Si,90.63 ,,,,,Impregnation,1113 ,,,5.0 ,1.0 ,0.04 ,99.9 ,22.6 ,31.6 ,46.7 ,21.6 ,68.3 ,15.4 
Mn,2.36 ,Na,2.21 ,W,1.10 ,Ce,3.70 ,,,,,,,,,,Si,90.63 ,,,,,Impregnation,1113 ,,,6.0 ,1.0 ,0.04 ,99.5 ,22.1 ,34.0 ,45.1 ,20.9 ,66.0 ,14.6 
Mn,2.39 ,Na,2.23 ,W,1.12 ,Ce,4.69 ,,,,,,,,,,Si,89.57 ,,,,,Impregnation,1113 ,,,3.0 ,1.0 ,0.04 ,98.8 ,34.6 ,42.8 ,36.1 ,21.1 ,57.2 ,19.8 
Mn,2.39 ,Na,2.23 ,W,1.12 ,Ce,4.69 ,,,,,,,,,,Si,89.57 ,,,,,Impregnation,1113 ,,,4.0 ,1.0 ,0.04 ,99.8 ,25.3 ,27.3 ,47.2 ,25.4 ,72.6 ,18.4 
Mn,2.39 ,Na,2.23 ,W,1.12 ,Ce,4.69 ,,,,,,,,,,Si,89.57 ,,,,,Impregnation,1113 ,,,5.0 ,1.0 ,0.04 ,99.7 ,21.2 ,35.0 ,44.4 ,20.6 ,65.0 ,13.8 
Mn,2.39 ,Na,2.23 ,W,1.12 ,Ce,4.69 ,,,,,,,,,,Si,89.57 ,,,,,Impregnation,1113 ,,,6.0 ,1.0 ,0.04 ,98.9 ,21.7 ,35.9 ,44.2 ,19.8 ,64.0 ,13.9 
Mn,2.25 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.60 ,,,,,Impregnation,1053 ,,,3.0 ,1.0 ,0.04 ,,0.9 ,,17.2 ,43.2 ,60.4 ,0.6 
Mn,2.25 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.60 ,,,,,Impregnation,1073 ,,,3.0 ,1.0 ,0.04 ,,7.0 ,,24.8 ,43.9 ,68.7 ,4.8 
Mn,2.25 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.60 ,,,,,Impregnation,1093 ,,,3.0 ,1.0 ,0.04 ,,18.8 ,,44.2 ,28.1 ,72.4 ,13.6 
Mn,2.25 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.60 ,,,,,Impregnation,1133 ,,,3.0 ,1.0 ,0.04 ,,20.1 ,,47.8 ,18.9 ,66.7 ,13.4 
Mn,2.25 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.60 ,,,,,Impregnation,1153 ,,,3.0 ,1.0 ,0.04 ,,19.9 ,,46.6 ,16.7 ,63.4 ,12.6 
Mn,2.25 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.60 ,,,,,Impregnation,1173 ,,,3.0 ,1.0 ,0.04 ,,20.5 ,,44.6 ,15.2 ,59.7 ,12.2 
Mn,2.26 ,Na,2.11 ,W,1.05 ,Ce,0.22 ,,,,,,,,,,Si,94.36 ,,,,,Impregnation,1053 ,,,3.0 ,1.0 ,0.04 ,,2.3 ,,17.4 ,44.3 ,61.7 ,1.4 
Mn,2.26 ,Na,2.11 ,W,1.05 ,Ce,0.22 ,,,,,,,,,,Si,94.36 ,,,,,Impregnation,1073 ,,,3.0 ,1.0 ,0.04 ,,9.3 ,,28.2 ,42.0 ,70.1 ,6.5 
Mn,2.26 ,Na,2.11 ,W,1.05 ,Ce,0.22 ,,,,,,,,,,Si,94.36 ,,,,,Impregnation,1093 ,,,3.0 ,1.0 ,0.04 ,,18.7 ,,43.4 ,30.9 ,74.3 ,13.9 
Mn,2.26 ,Na,2.11 ,W,1.05 ,Ce,0.22 ,,,,,,,,,,Si,94.36 ,,,,,Impregnation,1133 ,,,3.0 ,1.0 ,0.04 ,,20.6 ,,47.6 ,19.6 ,67.2 ,13.8 
Mn,2.26 ,Na,2.11 ,W,1.05 ,Ce,0.22 ,,,,,,,,,,Si,94.36 ,,,,,Impregnation,1153 ,,,3.0 ,1.0 ,0.04 ,,20.5 ,,45.0 ,21.1 ,66.1 ,13.5 
Mn,2.26 ,Na,2.11 ,W,1.05 ,Ce,0.22 ,,,,,,,,,,Si,94.36 ,,,,,Impregnation,1173 ,,,3.0 ,1.0 ,0.04 ,,21.1 ,,43.3 ,17.8 ,61.0 ,12.9 
Mn,2.26 ,Na,2.12 ,W,1.06 ,Ce,0.44 ,,,,,,,,,,Si,94.12 ,,,,,Impregnation,1053 ,,,3.0 ,1.0 ,0.04 ,,2.6 ,,18.2 ,42.8 ,60.9 ,1.6 
Mn,2.26 ,Na,2.12 ,W,1.06 ,Ce,0.44 ,,,,,,,,,,Si,94.12 ,,,,,Impregnation,1073 ,,,3.0 ,1.0 ,0.04 ,,10.7 ,,28.8 ,42.7 ,71.5 ,7.6 
Mn,2.26 ,Na,2.12 ,W,1.06 ,Ce,0.44 ,,,,,,,,,,Si,94.12 ,,,,,Impregnation,1093 ,,,3.0 ,1.0 ,0.04 ,,20.7 ,,43.1 ,34.3 ,77.4 ,16.0 
Mn,2.26 ,Na,2.12 ,W,1.06 ,Ce,0.44 ,,,,,,,,,,Si,94.12 ,,,,,Impregnation,1133 ,,,3.0 ,1.0 ,0.04 ,,21.6 ,,48.6 ,19.3 ,67.9 ,14.7 
Mn,2.26 ,Na,2.12 ,W,1.06 ,Ce,0.44 ,,,,,,,,,,Si,94.12 ,,,,,Impregnation,1153 ,,,3.0 ,1.0 ,0.04 ,,20.6 ,,46.3 ,20.0 ,66.4 ,13.7 
Mn,2.26 ,Na,2.12 ,W,1.06 ,Ce,0.44 ,,,,,,,,,,Si,94.12 ,,,,,Impregnation,1173 ,,,3.0 ,1.0 ,0.04 ,,21.9 ,,45.4 ,16.8 ,62.2 ,13.6 
Mn,2.28 ,Na,2.13 ,W,1.07 ,Ce,1.12 ,,,,,,,,,,Si,93.40 ,,,,,Impregnation,1053 ,,,3.0 ,1.0 ,0.04 ,,2.8 ,,20.3 ,42.5 ,62.7 ,1.8 
Mn,2.28 ,Na,2.13 ,W,1.07 ,Ce,1.12 ,,,,,,,,,,Si,93.40 ,,,,,Impregnation,1073 ,,,3.0 ,1.0 ,0.04 ,,12.2 ,,29.1 ,44.1 ,73.2 ,8.9 
Mn,2.28 ,Na,2.13 ,W,1.07 ,Ce,1.12 ,,,,,,,,,,Si,93.40 ,,,,,Impregnation,1093 ,,,3.0 ,1.0 ,0.04 ,,21.5 ,,44.9 ,33.4 ,78.3 ,16.8 
Mn,2.28 ,Na,2.13 ,W,1.07 ,Ce,1.12 ,,,,,,,,,,Si,93.40 ,,,,,Impregnation,1133 ,,,3.0 ,1.0 ,0.04 ,,22.3 ,,48.4 ,16.5 ,64.9 ,14.5 
Mn,2.28 ,Na,2.13 ,W,1.07 ,Ce,1.12 ,,,,,,,,,,Si,93.40 ,,,,,Impregnation,1153 ,,,3.0 ,1.0 ,0.04 ,,22.1 ,,46.8 ,18.2 ,65.0 ,14.4 
Mn,2.28 ,Na,2.13 ,W,1.07 ,Ce,1.12 ,,,,,,,,,,Si,93.40 ,,,,,Impregnation,1173 ,,,3.0 ,1.0 ,0.04 ,,23.0 ,,44.6 ,20.4 ,65.0 ,14.9 
Mn,2.32 ,Na,2.17 ,W,1.08 ,Ce,2.27 ,,,,,,,,,,Si,92.16 ,,,,,Impregnation,1053 ,,,3.0 ,1.0 ,0.04 ,,2.5 ,,20.9 ,42.2 ,63.1 ,1.6 
Mn,2.32 ,Na,2.17 ,W,1.08 ,Ce,2.27 ,,,,,,,,,,Si,92.16 ,,,,,Impregnation,1073 ,,,3.0 ,1.0 ,0.04 ,,12.3 ,,29.8 ,43.4 ,73.1 ,9.0 
Mn,2.32 ,Na,2.17 ,W,1.08 ,Ce,2.27 ,,,,,,,,,,Si,92.16 ,,,,,Impregnation,1093 ,,,3.0 ,1.0 ,0.04 ,,22.3 ,,45.8 ,34.9 ,80.8 ,18.0 
Mn,2.32 ,Na,2.17 ,W,1.08 ,Ce,2.27 ,,,,,,,,,,Si,92.16 ,,,,,Impregnation,1113 ,,,3.0 ,1.0 ,0.04 ,,25.7 ,,50.5 ,24.8 ,75.3 ,19.3 
Mn,2.32 ,Na,2.17 ,W,1.08 ,Ce,2.27 ,,,,,,,,,,Si,92.16 ,,,,,Impregnation,1153 ,,,3.0 ,1.0 ,0.04 ,,22.3 ,,48.1 ,20.2 ,68.2 ,15.2 
Mn,2.32 ,Na,2.17 ,W,1.08 ,Ce,2.27 ,,,,,,,,,,Si,92.16 ,,,,,Impregnation,1173 ,,,3.0 ,1.0 ,0.04 ,,23.2 ,,45.8 ,21.0 ,66.8 ,15.5 
Mn,2.36 ,Na,2.21 ,W,1.10 ,Ce,3.70 ,,,,,,,,,,Si,90.63 ,,,,,Impregnation,1053 ,,,3.0 ,1.0 ,0.04 ,,3.6 ,,19.3 ,41.6 ,60.9 ,2.2 
Mn,2.36 ,Na,2.21 ,W,1.10 ,Ce,3.70 ,,,,,,,,,,Si,90.63 ,,,,,Impregnation,1073 ,,,3.0 ,1.0 ,0.04 ,,10.0 ,,27.5 ,42.3 ,69.8 ,7.0 
