Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE
1187,1,0.72,0.750460875,0.939257899,0.500979889
1187,1,0.792,0.750460875,0.939257899,0.500979889
1187,1,0.864,0.750460875,0.939257899,0.500979889
1187,1,0.936,0.750460875,0.939257899,0.500979889
1187,1,1.008,0.750460875,0.939257899,0.500979889
1187,1,1.08,0.750460875,0.939257899,0.500979889
1187,1,1.152,0.750460875,0.939257899,0.500979889
1187,1,1.224,0.750460875,0.939257899,0.500979889
1187,1,1.296,0.750460875,0.939257899,0.500979889
1187,1,1.368,0.750460875,0.939257899,0.500979889
1187,1,1.44,0.750460875,0.939257899,0.500979889
1187,1.25,0.648,0.750460875,0.939257899,0.500979889
1187,1.25,0.72,0.750460875,0.939257899,0.500979889
1187,1.25,0.792,0.750460875,0.939257899,0.500979889
1187,1.25,0.864,0.750460875,0.939257899,0.500979889
1187,1.25,0.936,0.750460875,0.939257899,0.500979889
1187,1.25,1.008,0.750460875,0.939257899,0.500979889
1187,1.25,1.08,0.750460875,0.939257899,0.500979889
1187,1.25,1.152,0.750460875,0.939257899,0.500979889
1187,1.25,1.224,0.750460875,0.939257899,0.500979889
1187,1.25,1.296,0.750460875,0.939257899,0.500979889
1187,1.25,1.368,0.750460875,0.939257899,0.500979889
1187,1.25,1.44,0.750460875,0.939257899,0.500979889
