Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
1094.2,3.75,1.296,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,1.368,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,3.75,1.44,17.15881623,10.947419,9.197903,6.211397063435058
1094.2,4.0,0.0,22.45829738,11.505609,9.7077055,10.952688821345216
1094.2,4.0,0.576,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,0.648,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,0.72,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,0.792,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,0.864,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,0.936,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,1.008,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,1.08,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,1.152,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,1.224,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,1.296,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,1.368,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.0,1.44,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,0.0,22.45829738,11.505609,9.7077055,10.952688821345216
1094.2,4.25,0.576,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,0.648,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,0.72,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,0.792,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,0.864,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,0.936,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,1.008,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,1.08,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,1.152,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,1.224,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,1.296,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,1.368,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.25,1.44,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,0.0,22.45829738,11.505609,9.7077055,10.952688821345216
1094.2,4.5,0.576,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,0.648,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,0.72,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,0.792,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,0.864,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,0.936,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,1.008,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,1.08,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,1.152,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,1.224,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,1.296,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,1.368,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.5,1.44,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,0.0,22.45829738,11.505609,9.7077055,10.952688821345216
1094.2,4.75,0.576,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,0.648,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,0.72,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,0.792,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,0.864,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,0.936,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,1.008,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,1.08,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,1.152,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,1.224,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,1.296,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,1.368,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,4.75,1.44,16.74131255,10.947419,9.197903,5.7938933834350586
1094.2,5.0,0.0,21.64860508,11.505609,9.7077055,10.142996521345214
1094.2,5.0,0.576,15.91188347,10.947419,9.197903,4.964464303435058
1094.2,5.0,0.648,15.91188347,10.947419,9.197903,4.964464303435058
1094.2,5.0,0.72,15.91188347,10.947419,9.197903,4.964464303435058
