Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
723.0,3.5,0.504,0.695549291,3.4949603,8.3045225,2.7994110170749518
723.0,3.5,0.576,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,0.648,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,0.72,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,0.792,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,0.864,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,0.936,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,1.008,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,1.08,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,1.152,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,1.224,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,1.296,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,1.368,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.5,1.44,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,0.0,6.887156007,4.033523,7.898583,2.853632924266845
723.0,3.75,0.072,2.836903934,4.077863,7.8591523,1.2409592824001463
723.0,3.75,0.144,0.0,3.3652215,8.416468,3.3652215003967285
723.0,3.75,0.216,0.0,3.3649998,8.416721,3.364999771118164
723.0,3.75,0.288,0.0,3.3649998,8.416721,3.364999771118164
723.0,3.75,0.36,4.696822231,4.0622745,7.883403,0.6345477749758297
723.0,3.75,0.432,0.695549291,3.4949603,8.3045225,2.7994110170749518
723.0,3.75,0.504,0.695549291,3.4949603,8.3045225,2.7994110170749518
723.0,3.75,0.576,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,0.648,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,0.72,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,0.792,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,0.864,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,0.936,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,1.008,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,1.08,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,1.152,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,1.224,3.352292825,3.4949603,8.3045225,0.142667483074951
723.0,3.75,1.296,3.352292825,3.4949603,8.3045225,0.142667483074951
