,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
3252,885.4,1.5000000000000002,0.432,6.617509592
3253,885.4,1.5000000000000002,0.504,6.617509592
3254,885.4,1.5000000000000002,0.576,9.933110279
3267,885.4,1.75,0.0,9.551309758
3268,885.4,1.75,0.072,6.994392112
3269,885.4,1.75,0.144,3.243188454
3270,885.4,1.75,0.216,2.962152095
3271,885.4,1.75,0.288,2.962152095
3272,885.4,1.75,0.36,9.589847711
3273,885.4,1.75,0.432,6.617509592
3274,885.4,1.75,0.504,6.617509592
3275,885.4,1.75,0.576,9.933110279
3288,885.4,2.0,0.0,7.930769467
3289,885.4,2.0,0.072,5.287248717
3290,885.4,2.0,0.144,1.408573088
3291,885.4,2.0,0.216,1.193470945
3292,885.4,2.0,0.288,1.193470945
3293,885.4,2.0,0.36,7.821168953
3294,885.4,2.0,0.432,4.825053139
3295,885.4,2.0,0.504,4.825053139
3296,885.4,2.0,0.576,8.206915799
3309,885.4,2.25,0.0,7.046489346
3310,885.4,2.25,0.072,3.494753987
3311,885.4,2.25,0.144,0.0
3312,885.4,2.25,0.216,0.0
3313,885.4,2.25,0.288,0.0
3314,885.4,2.25,0.36,5.958626398
3315,885.4,2.25,0.432,2.044605542
3316,885.4,2.25,0.504,2.044605542
3317,885.4,2.25,0.576,4.701343831
3330,885.4,2.5,0.0,6.782047281
3331,885.4,2.5,0.072,3.4763208720000005
3332,885.4,2.5,0.144,0.0
3333,885.4,2.5,0.216,0.0
3334,885.4,2.5,0.288,0.0
3335,885.4,2.5,0.36,5.940193284
3336,885.4,2.5,0.432,2.026172611
3337,885.4,2.5,0.504,2.026172611
3338,885.4,2.5,0.576,4.682910717
3351,885.4,2.75,0.0,6.560958847
3352,885.4,2.75,0.072,3.335918263
3353,885.4,2.75,0.144,0.0
3354,885.4,2.75,0.216,0.0
3355,885.4,2.75,0.288,0.0
3356,885.4,2.75,0.36,5.807724179
3357,885.4,2.75,0.432,1.8937036909999998
3358,885.4,2.75,0.504,1.8937036909999998
3359,885.4,2.75,0.576,4.550441612
3372,885.4,3.0000000000000004,0.0,6.887156007
3373,885.4,3.0000000000000004,0.072,2.836903934
3374,885.4,3.0000000000000004,0.144,0.0
3375,885.4,3.0000000000000004,0.216,0.0
3376,885.4,3.0000000000000004,0.288,0.0
3377,885.4,3.0000000000000004,0.36,4.696822231
3378,885.4,3.0000000000000004,0.432,0.695549291
3379,885.4,3.0000000000000004,0.504,0.695549291
3380,885.4,3.0000000000000004,0.576,3.352292825
3393,885.4,3.25,0.0,6.887156007
3394,885.4,3.25,0.072,2.836903934
3395,885.4,3.25,0.144,0.0
3396,885.4,3.25,0.216,0.0
3397,885.4,3.25,0.288,0.0
3398,885.4,3.25,0.36,4.696822231
3399,885.4,3.25,0.432,0.695549291
3400,885.4,3.25,0.504,0.695549291
3401,885.4,3.25,0.576,3.352292825
3414,885.4,3.4999999999999996,0.0,6.887156007
3415,885.4,3.4999999999999996,0.072,2.836903934
3416,885.4,3.4999999999999996,0.144,0.0
3417,885.4,3.4999999999999996,0.216,0.0
3418,885.4,3.4999999999999996,0.288,0.0
3419,885.4,3.4999999999999996,0.36,4.696822231
3420,885.4,3.4999999999999996,0.432,0.695549291
3421,885.4,3.4999999999999996,0.504,0.695549291
3422,885.4,3.4999999999999996,0.576,3.352292825
3435,885.4,3.75,0.0,6.887156007
3436,885.4,3.75,0.072,2.836903934
3437,885.4,3.75,0.144,0.0
3438,885.4,3.75,0.216,0.0
3439,885.4,3.75,0.288,0.0
3440,885.4,3.75,0.36,4.696822231
3441,885.4,3.75,0.432,0.695549291
3442,885.4,3.75,0.504,0.695549291
3443,885.4,3.75,0.576,3.352292825
3456,885.4,4.0,0.0,5.678959586
3457,885.4,4.0,0.072,2.012875387
3458,885.4,4.0,0.144,0.0
3459,885.4,4.0,0.216,0.0
3460,885.4,4.0,0.288,0.0
3461,885.4,4.0,0.36,3.029642463
3462,885.4,4.0,0.432,0.0
3463,885.4,4.0,0.504,0.0
3464,885.4,4.0,0.576,1.453188977
3477,885.4,4.25,0.0,5.678959586
3478,885.4,4.25,0.072,2.012875387
3479,885.4,4.25,0.144,0.0
3480,885.4,4.25,0.216,0.0
3481,885.4,4.25,0.288,0.0
3482,885.4,4.25,0.36,3.029642463
3483,885.4,4.25,0.432,0.0
3484,885.4,4.25,0.504,0.0
3485,885.4,4.25,0.576,1.453188977
3498,885.4,4.499999999999999,0.0,5.678959586
3499,885.4,4.499999999999999,0.072,2.012875387
3500,885.4,4.499999999999999,0.144,0.0
3501,885.4,4.499999999999999,0.216,0.0
3502,885.4,4.499999999999999,0.288,0.0
3503,885.4,4.499999999999999,0.36,3.029642463
3504,885.4,4.499999999999999,0.432,0.0
3505,885.4,4.499999999999999,0.504,0.0
3506,885.4,4.499999999999999,0.576,1.453188977
3519,885.4,4.749999999999999,0.0,5.678959586
3520,885.4,4.749999999999999,0.072,2.012875387
3521,885.4,4.749999999999999,0.144,0.0
3522,885.4,4.749999999999999,0.216,0.0
3523,885.4,4.749999999999999,0.288,0.0
3524,885.4,4.749999999999999,0.36,3.029642463
3525,885.4,4.749999999999999,0.432,0.0
3526,885.4,4.749999999999999,0.504,0.0
3527,885.4,4.749999999999999,0.576,1.453188977
3540,885.4,5.0,0.0,5.016068602
3541,885.4,5.0,0.072,1.349984495
3542,885.4,5.0,0.144,0.0
3543,885.4,5.0,0.216,0.0
3544,885.4,5.0,0.288,0.0
3545,885.4,5.0,0.36,2.347010836
3546,885.4,5.0,0.432,0.0
3547,885.4,5.0,0.504,0.0
3548,885.4,5.0,0.576,0.770557994
3561,885.4,5.25,0.0,5.016068602
3562,885.4,5.25,0.072,1.349984495
3563,885.4,5.25,0.144,0.0
3564,885.4,5.25,0.216,0.0
3565,885.4,5.25,0.288,0.0
3566,885.4,5.25,0.36,2.347010836
3567,885.4,5.25,0.432,0.0
3568,885.4,5.25,0.504,0.0
3569,885.4,5.25,0.576,0.770557994
