Mg_C_mol%,Na_C_mol%,Ce_C_mol%,La_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Ti_C_mol%,P_A_mol%,S_A_mol%,Si_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
0.0,2.15,0.0,0.0,1.08,1.08,0.0,0.0,0.0,0.0,95.7,0.0,0.0,0.0,1,1073,4.8,1.0,0.13,20.1
0.0,2.13,0.0,0.0,8.55,1.07,0.0,0.0,0.0,0.0,88.25,0.0,0.0,0.0,1,973,3.0,1.0,0.07,11.2
0.0,2.13,0.0,0.0,8.55,1.07,0.0,0.0,0.0,0.0,88.25,0.0,0.0,0.0,1,973,3.0,1.0,0.21,8.0
0.0,2.13,0.0,0.0,8.55,1.07,0.0,0.0,0.0,0.0,88.25,0.0,0.0,0.0,1,973,3.0,1.0,0.42,18.0
0.0,2.13,0.0,0.0,8.55,1.07,0.0,0.0,0.0,0.0,88.25,0.0,0.0,0.0,1,973,3.0,1.0,0.64,18.5
0.0,2.13,0.0,0.0,8.55,1.07,0.0,0.0,0.0,0.0,88.25,0.0,0.0,0.0,1,973,3.0,1.0,1.06,17.2
0.0,2.13,0.0,0.0,8.55,1.07,0.0,0.0,0.0,0.0,88.25,0.0,0.0,0.0,1,973,3.0,1.0,2.12,14.7
0.0,2.11,0.0,0.0,0.79,1.06,0.0,0.0,0.0,0.0,96.05,0.0,0.0,0.0,1,1023,4.0,1.0,0.02,4.1
0.0,2.11,0.0,0.0,0.79,1.06,0.0,0.0,0.0,0.0,96.05,0.0,0.0,0.0,1,1023,4.0,1.0,0.01,2.3
0.0,2.11,0.0,0.0,0.79,1.06,0.0,0.0,0.0,0.0,96.05,0.0,0.0,0.0,1,1098,2.5,1.0,0.01,19.1
0.0,2.11,0.0,0.0,0.79,1.06,0.0,0.0,0.0,0.0,96.05,0.0,0.0,0.0,1,1098,2.5,1.0,0.01,20.6
0.0,2.11,0.0,0.0,0.79,1.06,0.0,0.0,0.0,0.0,96.05,0.0,0.0,0.0,1,1098,3.0,1.0,0.01,16.0
0.0,2.1,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.0,95.8,0.0,0.0,0.0,1,1073,3.0,1.0,0.1,19.1
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1123,5.0,0.9,0.0,8.6
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1123,5.0,0.9,0.0,11.7
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1123,5.0,0.9,0.0,15.7
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1123,5.0,0.9,0.0,16.4
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1123,5.0,0.9,0.0,18.6
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1123,5.0,0.9,0.0,17.9
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1048,7.5,0.9,0.0,7.81
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1073,7.5,0.9,0.0,9.88
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1098,7.5,0.9,0.0,10.125
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1123,7.5,0.9,0.0,10.64
0.0,2.08,0.0,0.0,4.44,1.04,0.0,0.0,0.0,0.0,92.44,0.0,0.0,0.0,1,1148,7.5,0.9,0.0,10.23
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1073,2.5,1.0,0.05,10.1
