Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(O2),X(CH4),S(COx),S(C2=),S(C2-),S(C2),Y(C2)
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,988,0.34,0.06,6,0.4,0.25,97.8,22.1,25.5,,,74.5,16.4
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,873,0.34,0.06,6,0.4,0.28,3.2,0.3,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,923,0.34,0.06,6,0.4,0.28,10.8,1,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,948,0.34,0.06,6,0.4,0.28,21.2,3.4,47.5,,,52.5,1.8
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,973,0.34,0.06,6,0.4,0.28,40,7.6,36.3,,,63.7,4.9
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,983,0.34,0.06,6,0.4,0.28,95.5,21.1,27.2,,,72.8,15.3
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,998,0.34,0.06,6,0.4,0.28,98,22,26,,,74,16.3
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,873,0.23,0.75,3,0.3,0.23,1.1,0.2,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,923,0.23,0.75,3,0.3,0.23,3.2,0.4,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,948,0.23,0.75,3,0.3,0.23,8.3,1.7,81.5,,,18.5,0.3
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,973,0.23,0.75,3,0.3,0.23,99.6,36.2,34.9,,,65.1,23.6
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,873,0.2,0.07,3,0.3,0.23,0.4,0.1,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,923,0.2,0.07,3,0.3,0.23,3.7,0.6,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,948,0.2,0.07,3,0.3,0.23,9.9,2.2,74,,,26,0.6
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,973,0.2,0.07,3,0.3,0.23,100,36.6,34.8,,,65.2,23.9
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,873,0.18,0.06,3,0.3,0.23,1.1,0.2,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,923,0.18,0.06,3,0.3,0.23,3,0.5,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,948,0.18,0.06,3,0.3,0.23,9.3,3,45.3,,,54.7,1.6
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,973,0.18,0.06,3,0.3,0.23,14.9,5.4,36.8,,,63.2,3.4
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1003,0.18,0.06,3,0.3,0.23,99.1,37,34.3,,,65.7,24.3
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1008,0.18,0.06,3,0.3,0.23,99.9,37.2,33.6,,,66.4,24.7
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,873,0.15,0.05,3,0.2,0.28,0,0,0,,,100,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,923,0.15,0.05,3,0.2,0.28,1.2,0.2,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,973,0.15,0.05,3,0.2,0.28,6.8,1.8,65.2,,,34.8,0.6
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1008,0.15,0.05,3,0.2,0.28,99.5,37,36,,,64,23.7
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,873,0.16,0.04,4,0.2,0.28,0.4,0.1,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,923,0.16,0.04,4,0.2,0.28,1.5,0.2,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,973,0.16,0.04,4,0.2,0.28,12.1,3.6,56.9,,,43.1,1.5
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1008,0.16,0.04,4,0.2,0.28,25.5,8.5,29.7,,,70.3,6
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1023,0.16,0.04,4,0.2,0.28,99.4,31.8,27.6,,,72.4,23
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,873,0.17,0.03,6,0.2,0.28,1.3,0.1,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,923,0.17,0.03,6,0.2,0.28,2.7,0.2,100,,,0,0
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,973,0.17,0.03,6,0.2,0.28,7.8,1.2,56.7,,,43.3,0.5
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1008,0.17,0.03,6,0.2,0.28,24.9,6.1,26.4,,,73.6,4.5
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1023,0.17,0.03,6,0.2,0.28,37.7,9.3,23.6,,,76.4,7.1
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1048,0.17,0.03,6,0.2,0.28,98.4,26,18.4,,,81.6,21.2
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1123,0.6,0.2,3,1,0.9,,37,43,,,57,21.1
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1123,0.64,0.16,4,1,0.9,,30,38,,,62,18.6
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1123,0.67,0.13,5,1,0.9,,25,35,,,65,16.3
Na,3.62,W,0.68,Mn,1.62,,,,,,,,,,,Si,94.07,,,,,Impregnation,1123,0.69,0.11,6,1,0.9,,22,33,,,67,14.7
