,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
5849,1001.4,6,1.44,3.168072094
5850,1024.6,1,0,18.87784608
5851,1024.6,1,0.072,17.10815369
5852,1024.6,1,0.144,13.04080345
5853,1024.6,1,0.216,12.82888998
5854,1024.6,1,0.288,12.82888998
5855,1024.6,1,0.36,19.34158677
5856,1024.6,1,0.432,16.11897537
5857,1024.6,1,0.504,16.11897537
5858,1024.6,1,0.576,19.43458195
5859,1024.6,1,0.648,19.43458195
5860,1024.6,1,0.72,19.43458195
5861,1024.6,1,0.792,19.43458195
5862,1024.6,1,0.864,19.43458195
5863,1024.6,1,0.936,19.43458195
5864,1024.6,1,1.008,19.43458195
5865,1024.6,1,1.08,19.43458195
5866,1024.6,1,1.152,19.43458195
5867,1024.6,1,1.224,19.43458195
5868,1024.6,1,1.296,19.43458195
5869,1024.6,1,1.368,19.43458195
5870,1024.6,1,1.44,19.43458195
5871,1024.6,1.25,0,18.87784608
5872,1024.6,1.25,0.072,17.10815369
5873,1024.6,1.25,0.144,13.04080345
5874,1024.6,1.25,0.216,12.82888998
5875,1024.6,1.25,0.288,12.82888998
5876,1024.6,1.25,0.36,19.34158677
5877,1024.6,1.25,0.432,16.11897537
5878,1024.6,1.25,0.504,16.11897537
5879,1024.6,1.25,0.576,19.43458195
5880,1024.6,1.25,0.648,19.43458195
5881,1024.6,1.25,0.72,19.43458195
5882,1024.6,1.25,0.792,19.43458195
5883,1024.6,1.25,0.864,19.43458195
5884,1024.6,1.25,0.936,19.43458195
5885,1024.6,1.25,1.008,19.43458195
5886,1024.6,1.25,1.08,19.43458195
5887,1024.6,1.25,1.152,19.43458195
5888,1024.6,1.25,1.224,19.43458195
5889,1024.6,1.25,1.296,19.43458195
5890,1024.6,1.25,1.368,19.43458195
5891,1024.6,1.25,1.44,19.43458195
5892,1024.6,1.5,0,18.87784608
5893,1024.6,1.5,0.072,17.10815369
5894,1024.6,1.5,0.144,13.04080345
5895,1024.6,1.5,0.216,12.82888998
5896,1024.6,1.5,0.288,12.82888998
5897,1024.6,1.5,0.36,19.34158677
5898,1024.6,1.5,0.432,16.11897537
5899,1024.6,1.5,0.504,16.11897537
5900,1024.6,1.5,0.576,19.43458195
5901,1024.6,1.5,0.648,19.43458195
5902,1024.6,1.5,0.72,19.43458195
5903,1024.6,1.5,0.792,19.43458195
5904,1024.6,1.5,0.864,19.43458195
5905,1024.6,1.5,0.936,19.43458195
5906,1024.6,1.5,1.008,19.43458195
5907,1024.6,1.5,1.08,19.43458195
5908,1024.6,1.5,1.152,19.43458195
5909,1024.6,1.5,1.224,19.43458195
5910,1024.6,1.5,1.296,19.43458195
5911,1024.6,1.5,1.368,19.43458195
5912,1024.6,1.5,1.44,19.43458195
5913,1024.6,1.75,0,18.87784608
5914,1024.6,1.75,0.072,17.10815369
5915,1024.6,1.75,0.144,13.04080345
5916,1024.6,1.75,0.216,12.82888998
5917,1024.6,1.75,0.288,12.82888998
5918,1024.6,1.75,0.36,19.34158677
5919,1024.6,1.75,0.432,16.11897537
5920,1024.6,1.75,0.504,16.11897537
5921,1024.6,1.75,0.576,19.43458195
5922,1024.6,1.75,0.648,19.43458195
5923,1024.6,1.75,0.72,19.43458195
5924,1024.6,1.75,0.792,19.43458195
5925,1024.6,1.75,0.864,19.43458195
5926,1024.6,1.75,0.936,19.43458195
5927,1024.6,1.75,1.008,19.43458195
5928,1024.6,1.75,1.08,19.43458195
5929,1024.6,1.75,1.152,19.43458195
5930,1024.6,1.75,1.224,19.43458195
5931,1024.6,1.75,1.296,19.43458195
5932,1024.6,1.75,1.368,19.43458195
5933,1024.6,1.75,1.44,19.43458195
5934,1024.6,2,0,17.26818708
5935,1024.6,2,0.072,15.41189637
5936,1024.6,2,0.144,11.21708152
5937,1024.6,2,0.216,11.0711065
5938,1024.6,2,0.288,11.0711065
5939,1024.6,2,0.36,17.58379298
5940,1024.6,2,0.432,14.33740205
5941,1024.6,2,0.504,14.33740205
5942,1024.6,2,0.576,17.71927243
5943,1024.6,2,0.648,17.71927243
5944,1024.6,2,0.72,17.71927243
5945,1024.6,2,0.792,17.71927243
5946,1024.6,2,0.864,17.71927243
5947,1024.6,2,0.936,17.71927243
5948,1024.6,2,1.008,17.71927243
