,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables
763,746.2,3.75,0.288,0.0,1,['Temperature']
764,746.2,3.75,0.36,4.696822231,1,['Temperature']
765,746.2,3.75,0.432,0.695549291,1,['Temperature']
766,746.2,3.75,0.504,0.695549291,1,['Temperature']
767,746.2,3.75,0.576,3.352292825,1,['Temperature']
780,746.2,4.0,0.0,5.726450934,1,['Temperature']
781,746.2,4.0,0.072,2.060366919,1,['Temperature']
782,746.2,4.0,0.144,0.0,1,['Temperature']
783,746.2,4.0,0.216,0.0,1,['Temperature']
784,746.2,4.0,0.288,0.0,1,['Temperature']
785,746.2,4.0,0.36,3.077133259,1,['Temperature']
786,746.2,4.0,0.432,0.0,1,['Temperature']
787,746.2,4.0,0.504,0.0,1,['Temperature']
788,746.2,4.0,0.576,1.500681153,1,['Temperature']
801,746.2,4.25,0.0,5.726450934,1,['Temperature']
802,746.2,4.25,0.072,2.060366919,1,['Temperature']
803,746.2,4.25,0.144,0.0,1,['Temperature']
804,746.2,4.25,0.216,0.0,1,['Temperature']
805,746.2,4.25,0.288,0.0,1,['Temperature']
806,746.2,4.25,0.36,3.077133259,1,['Temperature']
807,746.2,4.25,0.432,0.0,1,['Temperature']
808,746.2,4.25,0.504,0.0,1,['Temperature']
809,746.2,4.25,0.576,1.500681153,1,['Temperature']
822,746.2,4.499999999999999,0.0,5.726450934,1,['Temperature']
823,746.2,4.499999999999999,0.072,2.060366919,1,['Temperature']
824,746.2,4.499999999999999,0.144,0.0,1,['Temperature']
825,746.2,4.499999999999999,0.216,0.0,1,['Temperature']
826,746.2,4.499999999999999,0.288,0.0,1,['Temperature']
827,746.2,4.499999999999999,0.36,3.077133259,1,['Temperature']
828,746.2,4.499999999999999,0.432,0.0,1,['Temperature']
829,746.2,4.499999999999999,0.504,0.0,1,['Temperature']
830,746.2,4.499999999999999,0.576,1.500681153,1,['Temperature']
843,746.2,4.749999999999999,0.0,5.726450934,1,['Temperature']
844,746.2,4.749999999999999,0.072,2.060366919,1,['Temperature']
845,746.2,4.749999999999999,0.144,0.0,1,['Temperature']
846,746.2,4.749999999999999,0.216,0.0,1,['Temperature']
847,746.2,4.749999999999999,0.288,0.0,1,['Temperature']
848,746.2,4.749999999999999,0.36,3.077133259,1,['Temperature']
849,746.2,4.749999999999999,0.432,0.0,1,['Temperature']
850,746.2,4.749999999999999,0.504,0.0,1,['Temperature']
851,746.2,4.749999999999999,0.576,1.500681153,1,['Temperature']
864,746.2,5.0,0.0,5.063559949,1,['Temperature']
865,746.2,5.0,0.072,1.397475291,1,['Temperature']
866,746.2,5.0,0.144,0.0,1,['Temperature']
867,746.2,5.0,0.216,0.0,1,['Temperature']
868,746.2,5.0,0.288,0.0,1,['Temperature']
869,746.2,5.0,0.36,2.394502368,1,['Temperature']
870,746.2,5.0,0.432,0.0,1,['Temperature']
871,746.2,5.0,0.504,0.0,1,['Temperature']
872,746.2,5.0,0.576,0.81804925,1,['Temperature']
885,746.2,5.25,0.0,5.063559949,1,['Temperature']
886,746.2,5.25,0.072,1.397475291,1,['Temperature']
887,746.2,5.25,0.144,0.0,1,['Temperature']
888,746.2,5.25,0.216,0.0,1,['Temperature']
889,746.2,5.25,0.288,0.0,1,['Temperature']
890,746.2,5.25,0.36,2.394502368,1,['Temperature']
891,746.2,5.25,0.432,0.0,1,['Temperature']
892,746.2,5.25,0.504,0.0,1,['Temperature']
893,746.2,5.25,0.576,0.81804925,1,['Temperature']
906,746.2,5.5,0.0,5.063559949,1,['Temperature']
907,746.2,5.5,0.072,1.397475291,1,['Temperature']
908,746.2,5.5,0.144,0.0,1,['Temperature']
909,746.2,5.5,0.216,0.0,1,['Temperature']
910,746.2,5.5,0.288,0.0,1,['Temperature']
911,746.2,5.5,0.36,2.394502368,1,['Temperature']
912,746.2,5.5,0.432,0.0,1,['Temperature']
913,746.2,5.5,0.504,0.0,1,['Temperature']
914,746.2,5.5,0.576,0.81804925,1,['Temperature']
927,746.2,5.75,0.0,5.063559949,1,['Temperature']
928,746.2,5.75,0.072,1.397475291,1,['Temperature']
929,746.2,5.75,0.144,0.0,1,['Temperature']
930,746.2,5.75,0.216,0.0,1,['Temperature']
931,746.2,5.75,0.288,0.0,1,['Temperature']
932,746.2,5.75,0.36,2.394502368,1,['Temperature']
933,746.2,5.75,0.432,0.0,1,['Temperature']
934,746.2,5.75,0.504,0.0,1,['Temperature']
935,746.2,5.75,0.576,0.81804925,1,['Temperature']
948,746.2,6.000000000000001,0.0,5.063559949,1,['Temperature']
949,746.2,6.000000000000001,0.072,1.397475291,1,['Temperature']
950,746.2,6.000000000000001,0.144,0.0,1,['Temperature']
951,746.2,6.000000000000001,0.216,0.0,1,['Temperature']
952,746.2,6.000000000000001,0.288,0.0,1,['Temperature']
953,746.2,6.000000000000001,0.36,2.394502368,1,['Temperature']
954,746.2,6.000000000000001,0.432,0.0,1,['Temperature']
955,746.2,6.000000000000001,0.504,0.0,1,['Temperature']
956,746.2,6.000000000000001,0.576,0.81804925,1,['Temperature']
1011,769.4,1.5000000000000002,0.0,9.551309758,1,['Temperature']
1012,769.4,1.5000000000000002,0.072,6.994392112,1,['Temperature']
1013,769.4,1.5000000000000002,0.144,3.243188454,1,['Temperature']
1014,769.4,1.5000000000000002,0.216,2.962152095,1,['Temperature']
1015,769.4,1.5000000000000002,0.288,2.962152095,1,['Temperature']
1016,769.4,1.5000000000000002,0.36,9.589847711,1,['Temperature']
1017,769.4,1.5000000000000002,0.432,6.617509592,1,['Temperature']
1018,769.4,1.5000000000000002,0.504,6.617509592,1,['Temperature']
