Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,Hard extrapolative error,Easy extrapolative error,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
3547,-3.0116805920471235,0.4316403718286903,2.455852545965045,0.5377780199114989,0.958853399503769,0.7376025926218381,[2.69493761],[12.60001568],932,11,7.764266851469213,0.0,1.0,1.0,0.1
3548,-3.0116805920471235,0.4316403718286903,2.935718845433913,0.5926429650429088,0.9001492540477772,0.6726109083972491,[1.12257948],[12.10512177],303,31,2.140802875246748,0.0,1.0,1.0,0.1
3549,-3.0116805920471235,0.4316403718286903,3.4155851449027828,0.565954457217869,0.9291686875267249,0.7200548499572952,[2.90324583],[12.70704035],316,34,4.596186085616374,0.0,1.0,0.5,0.1
3550,-3.0116805920471235,0.4316403718286903,3.89545144437165,0.5919591280504252,0.900904484946892,0.6726639059006202,[1.10811415],[12.08789556],967,50,2.380710129601786,0.0,1.0,1.0,0.1
3551,-3.0116805920471235,0.4316403718286903,4.37531774384052,0.5922419674690482,0.900592193348035,0.6727091880519772,[1.16801443],[12.10150687],374,43,2.7158063647630373,0.0,0.8439523879930101,1.0,0.1
3552,-3.0116805920471235,0.4316403718286903,4.8551840433093885,0.5590694753517346,0.9365090920243462,0.724005344166659,[3.08170786],[12.6490498],968,50,6.3928613915280765,0.0,1.0,0.5,0.1
3553,-3.0116805920471235,0.4316403718286903,5.335050342778257,0.5479320661818261,0.9482629160148909,0.7316671639662732,[1.70244779],[12.60988144],954,14,3.3620150638775232,0.0,0.5,1.0,0.1
3554,-3.0116805920471235,0.4316403718286903,5.814916642247125,0.5634274403327737,0.931869576129951,0.7205522442049501,[3.01325216],[12.62869601],303,13,6.8530359891141766,0.0,1.0,0.5,0.1
3555,-3.0116805920471235,0.4316403718286903,6.294782941715995,0.5633933494908853,0.9319059590833987,0.7205845667519492,[3.01384821],[12.62806229],309,31,6.603334716454136,0.0,1.0,0.5,0.1
3556,-3.0116805920471235,0.4316403718286903,6.774649241184863,0.565929023616319,0.9291959101999949,0.7200909035661177,[2.90434828],[12.70640711],311,34,4.4182979191798575,0.0,1.0,0.5,0.1
3557,-3.0116805920471235,0.4316403718286903,7.254515540653732,0.5994202343817663,0.8926298782877622,0.6639688160753566,[3.52970972],[11.13582556],927,2,1.0,0.0,1.0,0.8199369502230524,0.0543729236711705
3558,-3.0116805920471235,0.4316403718286903,7.7343818401226,0.6030353632870813,0.8885928723788863,0.6668494822137873,[1.79706087],[12.05147235],393,46,1.0,0.0,0.5,1.0,0.1
3559,-3.0116805920471235,0.8104736768911055,-1.862944149254773,0.569549580501994,0.9253600022003126,0.7171861397500807,[3.14861955],[12.7764235],320,7,4.5400280109248605,0.0,1.0,0.5,0.1
3560,-3.0116805920471235,0.8104736768911055,-1.3830778497859042,0.5614885928930593,0.9339450301779629,0.7248977398129711,[2.49601545],[12.71851353],968,9,3.543930705223998,0.0,1.0,0.6605151423681769,0.0910976461768982
3561,-3.0116805920471235,0.8104736768911055,-0.9032115503170357,0.5646645695138315,0.9305360815073033,0.7215894511565406,[2.89572515],[12.71644978],302,17,4.195123365267929,0.0,1.0,0.5,0.1
3562,-3.0116805920471235,0.8104736768911055,-0.42334525084816704,0.5651907837079364,0.9299735160467001,0.7207352187940371,[2.89111891],[12.71978621],326,15,4.06060554191169,0.0,1.0,0.5,0.1
3563,-3.0116805920471235,0.8104736768911055,0.05652104862070149,0.545785194180822,0.9504994144725087,0.7323888134903813,[0.86696329],[12.61176829],945,15,2.3212113169650754,0.0,1.0,1.0,0.1
3564,-3.0116805920471235,0.8104736768911055,0.5363873480895702,0.5857555802678006,0.907748047500551,0.7090626303169043,[3.3994626],[11.67282693],933,1,1.0,0.0,0.5,1.0,0.1
3565,-3.0116805920471235,0.8104736768911055,1.016253647558439,0.5507270865119802,0.9453145191954534,0.7310689086040616,[1.7840909],[12.61302094],302,9,3.218011714492708,0.0,0.5,1.0,0.1
3566,-3.0116805920471235,0.8104736768911055,1.4961199470273077,0.5643977093266982,0.9308212466600503,0.7220191449506116,[2.88583937],[12.71648602],324,30,4.4693439828897725,0.0,1.0,0.5,0.1
3567,-3.0116805920471235,0.8104736768911055,1.975986246496176,0.5679160856215357,0.9270666641922832,0.7159697301433187,[3.24558916],[12.66452412],917,2,5.560721323928566,0.0239234141205624,0.9327387949172816,0.5717824107450764,0.070885992989625
3568,-3.0116805920471235,0.8104736768911055,2.455852545965045,0.5597705470937882,0.9357642793936888,0.7234623456481296,[3.06178274],[12.64491276],849,39,7.228711884862687,0.0,1.0,0.5,0.1
3569,-3.0116805920471235,0.8104736768911055,2.935718845433913,0.5913100972225547,0.9016206907199072,0.6735357661382256,[1.06963053],[12.09594409],968,13,2.1882931649276016,0.0,1.0,1.0,0.1
