,Order,RMSE,MAE,R2
228,3795,0.9593628519343341,0.5372699586795361,0.7398214117448905
229,3481,0.9593668779374837,0.5421552869515011,0.7398192741872832
230,2910,0.9593743796110673,0.5373178248765361,0.7398153036128542
231,3374,0.9594334155178352,0.5501690450094113,0.7397742888552594
232,2891,0.9594435308339688,0.5399512960555456,0.7397933122473005
233,5502,0.9594725571372413,0.5401055021422771,0.7397672698763926
234,3899,0.9595057640718648,0.5384275918108758,0.7397237839067972
235,130,0.9595218165099435,0.5370341883447148,0.7397460648316732
236,4636,0.9595271261534154,0.5439121042065114,0.7397476509394981
237,7096,0.9595671956759235,0.5408953935966255,0.7396460777757784
238,1390,0.9595690081917247,0.5369206637536575,0.7396834491202696
239,2704,0.959581473165443,0.5386448598711219,0.7396937744449413
240,1227,0.9596021247764793,0.5421543321915848,0.7396505252978542
241,4001,0.9596843408117752,0.5411204577480131,0.7396568851209993
242,3278,0.959715023082376,0.542068353259966,0.7396047688611016
243,3089,0.959730029411636,0.5422601826349498,0.7395896481620543
244,3648,0.9597552468225162,0.541334105061669,0.7396218561908245
245,3080,0.9597688378505125,0.5372003410593164,0.7395685873986269
246,2757,0.9597844122122642,0.5386260417813659,0.7395671134086448
247,4244,0.9597980730411841,0.5415752143927403,0.7395981362399622
248,3474,0.9598054096894639,0.5437374082880376,0.7395813598097103
249,3793,0.9598102530062149,0.5432834581423801,0.7395786853943562
250,3753,0.9598115395815643,0.5394755519463316,0.7395844015127796
