Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,mean,std
862.2,2.75,0,6.560958847,-0.4255249,0.2811681
862.2,2.75,0.072,3.335918263,-0.42057484,0.27651596
862.2,2.75,0.144,0,-0.53857887,0.3753474
862.2,2.75,0.216,0,-0.53857887,0.3753474
862.2,2.75,0.288,0,-0.53857887,0.3753474
862.2,2.75,0.36,5.807724179,-0.42678973,0.28368673
862.2,2.75,0.432,1.893703691,-0.51869416,0.35713157
862.2,2.75,0.504,1.893703691,-0.51869416,0.35713157
862.2,2.75,0.576,4.550441612,-0.51869416,0.35713157
862.2,2.75,0.648,4.550441612,-0.51869416,0.35713157
862.2,2.75,0.72,4.550441612,-0.51869416,0.35713157
862.2,2.75,0.792,4.550441612,-0.51869416,0.35713157
862.2,2.75,0.864,4.550441612,-0.51869416,0.35713157
862.2,2.75,0.936,4.550441612,-0.51869416,0.35713157
862.2,2.75,1.008,4.550441612,-0.51869416,0.35713157
862.2,2.75,1.08,4.550441612,-0.51869416,0.35713157
862.2,2.75,1.152,4.550441612,-0.51869416,0.35713157
862.2,2.75,1.224,4.550441612,-0.51869416,0.35713157
862.2,2.75,1.296,4.550441612,-0.51869416,0.35713157
862.2,2.75,1.368,4.550441612,-0.51869416,0.35713157
862.2,2.75,1.44,4.550441612,-0.51869416,0.35713157
862.2,3,0,6.887156007,-0.4255249,0.2811681
862.2,3,0.072,2.836903934,-0.42057484,0.27651596
862.2,3,0.144,0,-0.53857887,0.3753474
862.2,3,0.216,0,-0.53857887,0.3753474
862.2,3,0.288,0,-0.53857887,0.3753474
862.2,3,0.36,4.696822231,-0.42678973,0.28368673
862.2,3,0.432,0.695549291,-0.51869416,0.35713157
862.2,3,0.504,0.695549291,-0.51869416,0.35713157
862.2,3,0.576,3.352292825,-0.51869416,0.35713157
862.2,3,0.648,3.352292825,-0.51869416,0.35713157
862.2,3,0.72,3.352292825,-0.51869416,0.35713157
862.2,3,0.792,3.352292825,-0.51869416,0.35713157
862.2,3,0.864,3.352292825,-0.51869416,0.35713157
862.2,3,0.936,3.352292825,-0.51869416,0.35713157
862.2,3,1.008,3.352292825,-0.51869416,0.35713157
862.2,3,1.08,3.352292825,-0.51869416,0.35713157
862.2,3,1.152,3.352292825,-0.51869416,0.35713157
862.2,3,1.224,3.352292825,-0.51869416,0.35713157
862.2,3,1.296,3.352292825,-0.51869416,0.35713157
862.2,3,1.368,3.352292825,-0.51869416,0.35713157
862.2,3,1.44,3.352292825,-0.51869416,0.35713157
862.2,3.25,0,6.887156007,-0.4255249,0.2811681
