,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,Hard extrapolative error,Easy extrapolative error,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
40,40,0.48337222729808266,-2.9778593737330463,0.5363873480895702,0.6097301653463392,0.8810745046392128,0.6690100313638289,[2.01785364],[12.72714047],942,16,2.716183454380538,0.0,1.0,0.5,0.1
41,41,1.0207419719698547,-2.9778593737330463,0.5363873480895702,0.5859088917529287,0.9075656009857708,0.6992574822810814,[2.83680811],[12.73809103],942,16,2.716183454380538,0.0,1.0,0.5,0.1
42,42,1.0207419719698547,-2.9778593737330463,0.5363873480895702,0.5859088917529287,0.9075656009857708,0.6992574822810814,[2.83680811],[12.73809103],942,16,2.716183454380538,0.0,1.0,0.5,0.1
43,43,-2.6333722917981954,-2.9778593737330463,0.6030354452380242,0.5887025525387027,0.9044872421728749,0.6958213009128325,[2.62838163],[12.73700718],942,16,2.716183454380538,0.0,1.0,0.5,0.1
44,44,-2.310950444995132,-2.9778593737330463,0.6030354452380242,0.5887025525387027,0.9044872421728749,0.6958213009128325,[2.62838163],[12.73700718],942,16,2.716183454380538,0.0,1.0,0.5,0.1
45,45,-1.9885285981920688,-2.9778593737330463,0.6030354452380242,0.5886751901986178,0.9045322296862536,0.6961026798776949,[2.65545931],[12.7323132],942,16,2.716183454380538,0.0,1.0,0.5,0.1
46,46,-1.4511588535202968,-2.9778593737330463,0.6030354452380242,0.5881769981806856,0.9050898676118079,0.6965360067520234,[2.6503562],[12.73294739],942,16,2.716183454380538,0.0,1.0,0.5,0.1
47,47,-1.1287370067172335,-2.9778593737330463,0.6030354452380242,0.5880012880609475,0.9052857337161898,0.6966819953628082,[2.64301386],[12.7322164],942,16,2.716183454380538,0.0,1.0,0.5,0.1
48,48,-0.37641936417675265,-2.9778593737330463,0.6030354452380242,0.5885478790156006,0.904704085069246,0.6962628044489204,[2.65790548],[10.10074656],942,16,2.716183454380538,0.0,1.0,0.5,0.1
49,49,-0.05399751737368938,-2.9778593737330463,0.6030354452380242,0.5633299743270517,0.9320352152368775,0.7232376089866155,[2.53673067],[12.7115684],899,5,3.469540443440448,0.0,0.5,0.557161102612224,0.1
50,50,-0.6988412109798159,-2.9778593737330463,-0.5966303034341474,0.5625565162679613,0.9327937524528633,0.721723124649883,[3.00292959],[12.62811093],299,14,6.72790730372461,0.0,1.0,0.5,0.1
51,51,-0.1614714663080438,-2.9778593737330463,-0.5966303034341474,0.5620610727663893,0.9333690675064168,0.7221692679751482,[3.01819696],[12.63738303],299,14,6.72790730372461,0.0,1.0,0.5,0.1
52,52,0.26842432942937383,-2.9778593737330463,-0.5966303034341474,0.5423494540823349,0.95416078469928,0.7386979326931381,[1.45789709],[12.61067967],971,14,2.171716485596267,0.0,0.5,1.0,0.1
53,53,1.0207419719698547,-2.9778593737330463,-0.5966303034341474,0.5492942654983041,0.9468942358358906,0.7319077269536741,[2.10404482],[12.60991768],952,12,3.6460144386602393,0.0,0.5,1.0,0.1
54,54,1.4506377677072724,-2.9778593737330463,-0.5966303034341474,0.5474924043120535,0.9487732580258172,0.7311068006663731,[0.91782083],[12.61126427],298,19,2.413121630603125,0.0,1.0,1.0,0.1
55,55,1.88053356344469,-2.9778593737330463,-0.5966303034341474,0.5481796690296046,0.9480496260323743,0.7326524201885823,[1.93170633],[12.60620455],936,24,4.602166921443664,0.0,0.5,1.0,0.1
56,56,2.2029554102477533,-2.9778593737330463,-0.5966303034341474,0.5220381886100616,0.9751007748425319,0.7589061733418221,[1.72183599],[12.60997824],971,14,2.5363276850813974,0.0,0.5,1.0,0.1
57,57,-0.8063151599141702,-2.9778593737330463,-1.2631112749186872,0.5514036577828114,0.9446370859410192,0.7312821449711278,[1.80498209],[12.68193011],943,31,3.1784801857735787,0.0023571796078769,0.738428803358157,0.6981358265422022,0.0961355517922418
58,58,-0.26894541524239823,-2.9778593737330463,-1.2631112749186872,0.6099221893556361,0.8809034376635152,0.6694871203450438,[3.45567694],[7.46675531],927,1,1.0,0.0,0.5,1.0,0.1
59,59,0.26842432942937383,-2.9778593737330463,-1.2631112749186872,0.5664064409556149,0.9287463389666901,0.7173436151307361,[1.25117197],[12.31384186],970,4,1.0,0.0,1.0,1.0,0.1
60,60,1.0207419719698547,-2.9778593737330463,-1.2631112749186872,0.5643376512624736,0.9309396642223083,0.7218428237611736,[2.78934564],[12.73501496],966,32,4.876967722350964,0.0,0.803493637247269,0.5,0.0731855736750138
